where was a hologram for the king filmed	"<P> Production was set to begin in first quarter of 2014 . Principal photography commenced on March 6 , 2014 in Morocco . Filming also took place in Hurghada in Egypt , as well as in Berlin and Düsseldorf in Germany . Shooting wrapped in June 2014 . </P> "	hologram for the king	filmed	"Morocco, Hurghada in Egypt, Berlin in Germany"
where was walking tall with the rock filmed	"<P> In the original film , Pusser uses a wooden club to beat the criminals . Director Kevin Bray wanted to update it by making it a baseball bat . There were objections , so the compromise was just to add a handle . Although it was filmed in Squamish , British Columbia , Canada , the setting of this 2004 film is in semi-rural Kitsap County , Washington , and not in the McNairy County , Tennessee , where Buford Pusser originally served as a sheriff . </P> "	walking tall with the rock	filmed	"Squamish, British Columbia, Canada"
where is the movie only the brave filmed	"<P> Principal photography on the film began on June 13 , 2016 , in New Mexico at different locations in and around Santa Fe and Los Alamos . </P> "	movie only the brave	filmed	New Mexico
where was the first t20 cricket match played	"<P> The first official Twenty20 matches were played on 13 June 2003 between the English counties in the Twenty20 Cup . The first season of Twenty20 in England was a relative success , with the Surrey Lions defeating the Warwickshire Bears by 9 wickets in the final to claim the title . The first Twenty20 match held at Lord 's , on 15 July 2004 between Middlesex and Surrey , attracted a crowd of 27,509 , the highest attendance for any county cricket game at the ground -- other than a one - day final -- since 1953 . </P> "	first t20 cricket match	played	Lord's
where is the snooker world open currently held	"<P> Following Barry Hearn 's takeover of the World Professional Billiards and Snooker Association , the Grand Prix was reformatted and renamed to World Open . The event gave a chance for amateurs to play alongside professionals . The amateurs had to win 3 matches to qualify for the main draw . On 9 January 2012 it was announced , that the World Open would be held in the next five years in Haikou on the Hainan Island . In November 2014 , it was announced that the tournament would not be held in the 2014 / 2015 season after the contract with the promoter was not renewed and a new venue was not found in time . The event returned in the 2016 / 2017 season . </P> "	snooker world open	held	Haikou on the Hainan Island
where does the this is us family live	"<P> Most episodes feature a storyline taking place in the present ( 2016 -- 2018 , contemporaneous with airing ) and a storyline taking place at a set time in the past ; but some episodes are set in one time period or use multiple flashback time periods . Flashbacks often focus on Jack and Rebecca c. 1980 both before and after their babies ' birth , or on the family when the Big Three are children ( at least ages 8 -- 10 ) or adolescents ; these scenes usually take place in Pittsburgh , where the Big Three are born and raised . Various other time periods and locations have also served a settings . As adults , Kate lives in Los Angeles , Randall and his family are in New Jersey , and Kevin relocates from Los Angeles to New York City . </P> "	this is us family	live	"Los Angeles, New Jersey, New York City"
where was foo fighters one of these days video filmed	"<P> The official video was released on January 30 , 2012 . The video featured live shots from their June 2011 Milton Keynes performances , Australian and New Zealand tour . It was directed by Wayne Isham . </P> "	foo fighters one of these days video	filmed	"Milton Keynes performances, Australian and New Zealand tour"
where was the film coming home for christmas filmed	"<P> Filming took place in British Columbia , in the Abbotsford , Vancouver and Langley areas in August 2017 , with a mansion in the Aldergrove area of Langely serving as the property at the centre of the story . </P> "	film coming home for christmas	filmed	"British Columbia, in the Abbotsford, Vancouver and Langley areas"
where does trick or treat for unicef money go	"<P> In 1953 , the United States Committee for UNICEF , now called the U.S. Fund for UNICEF , started actively promoting the program . By the 1960s , the concept had expanded throughout the United States , with small orange collection boxes distributed to millions of trick - or - treaters . When UNICEF won the Nobel Peace Prize in 1965 , U.S. President Lyndon B. Johnson said in his congratulatory letter : `` Your UNICEF Trick or Treat Day has helped turn a holiday too often marred by youthful vandalism into a program of basic training in world citizenship . '' In 1967 , Johnson declared Halloween , October 31 , to be ' UNICEF Day ' in the United States ; by 1969 , 3.5 million American children were trick - or - treating for donations . Children ( and adults ) in the U.S. have collected more than US $ 175 million for Trick - or - Treat for UNICEF . Donations to Trick - or - Treat for UNICEF support UNICEF 's global programing , but in 2005 , half of the proceeds were targeted to a domestic cause , aiding victims of Hurricane Katrina . In 2008 , the U.S. Fund for UNICEF introduced mobile phone text message donations as well as a MySpace and Facebook page . In 2014 , the U.S. Fund for UNICEF partnered with Crowdrise to expand the campaign 's online presence , allowing participants to create personal fundraising web pages in addition to traditional door - to - door trick - or - treating . </P> "	trick or treat for unicef money	go	victims of Hurricane Katrina
where are the next two winter olympics going to be held	"<Table> <Tr> <Th> City </Th> <Th> Country </Th> <Th> Continent </Th> <Th> Summer ( Olympiad ) </Th> <Th> Winter </Th> <Th> Year </Th> <Th> Opening Ceremony </Th> <Th> Closing Ceremony </Th> </Tr> <Tr> <Td> Athens </Td> <Td> Greece </Td> <Td> Europe </Td> <Td> S005 I </Td> <Td> -- </Td> <Td> 1896 </Td> <Td> 000000002018 - 04 - 06 - 0000 April 6 </Td> <Td> 000000002018 - 04 - 15 - 0000 April 15 </Td> </Tr> <Tr> <Td> Paris </Td> <Td> France </Td> <Td> Europe </Td> <Td> S005 II </Td> <Td> -- </Td> <Td> 1900 </Td> <Td> 000000002018 - 05 - 14 - 0000 May 14 </Td> <Td> 000000002018 - 10 - 28 - 0000 October 28 </Td> </Tr> <Tr> <Td> St. Louis </Td> <Td> United States </Td> <Td> North America </Td> <Td> S005 III </Td> <Td> -- </Td> <Td> 1904 </Td> <Td> 000000002018 - 07 - 01 - 0000 July 1 </Td> <Td> 000000002018 - 11 - 23 - 0000 November 23 </Td> </Tr> <Tr> <Td> London </Td> <Td> United Kingdom </Td> <Td> Europe </Td> <Td> S005 IV </Td> <Td> -- </Td> <Td> 1908 </Td> <Td> 000000002018 - 04 - 27 - 0000 April 27 </Td> <Td> 000000002018 - 10 - 31 - 0000 October 31 </Td> </Tr> <Tr> <Td> Stockholm </Td> <Td> Sweden </Td> <Td> Europe </Td> <Td> S005 V </Td> <Td> -- </Td> <Td> 1912 </Td> <Td> 000000002018 - 05 - 05 - 0000 May 5 </Td> <Td> 000000002018 - 07 - 22 - 0000 July 22 </Td> </Tr> <Tr> <Td> Berlin </Td> <Td> Germany </Td> <Td> Europe </Td> <Td> S006 VI </Td> <Td> -- </Td> <Td> 1916 </Td> <Td colspan=""2""> Cancelled due to WWI </Td> </Tr> <Tr> <Td> Antwerp </Td> <Td> Belgium </Td> <Td> Europe </Td> <Td> S007 VII </Td> <Td> -- </Td> <Td> 1920 </Td> <Td> 000000002018 - 04 - 20 - 0000 April 20 </Td> <Td> 000000002018 - 09 - 12 - 0000 September 12 </Td> </Tr> <Tr> <Td> Chamonix </Td> <Td> France </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W001 I </Td> <Td> 1924 </Td> <Td> 000000002018 - 01 - 25 - 0000 January 25 </Td> <Td> 000000002018 - 02 - 04 - 0000 February 4 </Td> </Tr> <Tr> <Td> Paris </Td> <Td> France </Td> <Td> Europe </Td> <Td> S008 VIII </Td> <Td> -- </Td> <Td> 000000002018 - 05 - 04 - 0000 May 4 </Td> <Td> 000000002018 - 07 - 27 - 0000 July 27 </Td> </Tr> <Tr> <Td> St. Moritz </Td> <Td> Switzerland </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W002 II </Td> <Td> 1928 </Td> <Td> 000000002018 - 02 - 11 - 0000 February 11 </Td> <Td> 000000002018 - 02 - 19 - 0000 February 19 </Td> </Tr> <Tr> <Td> Amsterdam </Td> <Td> Netherlands </Td> <Td> Europe </Td> <Td> S009 IX </Td> <Td> -- </Td> <Td> 000000002018 - 05 - 17 - 0000 May 17 </Td> <Td> 000000002018 - 08 - 12 - 0000 August 12 </Td> </Tr> <Tr> <Td> Lake Placid </Td> <Td> United States </Td> <Td> North America </Td> <Td> -- </Td> <Td> W003 III </Td> <Td> 1932 </Td> <Td> 000000002018 - 02 - 04 - 0000 February 4 </Td> <Td> 000000002018 - 02 - 15 - 0000 February 15 </Td> </Tr> <Tr> <Td> Los Angeles </Td> <Td> United States </Td> <Td> North America </Td> <Td> S010 X </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 30 - 0000 July 30 </Td> <Td> 000000002018 - 08 - 14 - 0000 August 14 </Td> </Tr> <Tr> <Td> Garmisch - Partenkirchen </Td> <Td> Nazi Germany </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W004 IV </Td> <Td> 1936 </Td> <Td> 000000002018 - 02 - 06 - 0000 February 6 </Td> <Td> 000000002018 - 02 - 16 - 0000 February 16 </Td> </Tr> <Tr> <Td> Berlin </Td> <Td> Nazi Germany </Td> <Td> Europe </Td> <Td> S011 XI </Td> <Td> -- </Td> <Td> 000000002018 - 08 - 01 - 0000 August 1 </Td> <Td> 000000002018 - 08 - 16 - 0000 August 16 </Td> </Tr> <Tr> <Td> Sapporo Garmisch - Partenkirchen </Td> <Td> Empire of Japan Nazi Germany </Td> <Td> Asia Europe </Td> <Td> -- </Td> <Td> W005a V </Td> <Td> 1940 </Td> <Td colspan=""2""> Cancelled due to WWII </Td> </Tr> <Tr> <Td> Tokyo Helsinki </Td> <Td> Empire of Japan Finland </Td> <Td> Asia Europe </Td> <Td> S012 XII </Td> <Td> -- </Td> </Tr> <Tr> <Td> Cortina d'Ampezzo </Td> <Td> Italy </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W005b V </Td> <Td> 1944 </Td> </Tr> <Tr> <Td> London </Td> <Td> United Kingdom </Td> <Td> Europe </Td> <Td> S013 XIII </Td> <Td> -- </Td> </Tr> <Tr> <Td> St. Moritz </Td> <Td> Switzerland </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W005c V </Td> <Td> 1948 </Td> <Td> 000000002018 - 01 - 30 - 0000 January 30 </Td> <Td> 000000002018 - 02 - 08 - 0000 February 8 </Td> </Tr> <Tr> <Td> London </Td> <Td> United Kingdom </Td> <Td> Europe </Td> <Td> S014 XIV </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 29 - 0000 July 29 </Td> <Td> 000000002018 - 08 - 14 - 0000 August 14 </Td> </Tr> <Tr> <Td> Oslo </Td> <Td> Norway </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W006 VI </Td> <Td> 1952 </Td> <Td> 000000002018 - 02 - 14 - 0000 February 14 </Td> <Td> 000000002018 - 02 - 25 - 0000 February 25 </Td> </Tr> <Tr> <Td> Helsinki </Td> <Td> Finland </Td> <Td> Europe </Td> <Td> S015 XV </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 19 - 0000 July 19 </Td> <Td> 000000002018 - 08 - 03 - 0000 August 3 </Td> </Tr> <Tr> <Td> Cortina d'Ampezzo </Td> <Td> Italy </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W007 VII </Td> <Td> 1956 </Td> <Td> 000000002018 - 01 - 26 - 0000 January 26 </Td> <Td> 000000002018 - 02 - 05 - 0000 February 5 </Td> </Tr> <Tr> <Td> Melbourne Stockholm </Td> <Td> Australia Sweden </Td> <Td> Oceania Europe </Td> <Td> S016 XVI </Td> <Td> -- </Td> <Td> 000000002018 - 11 - 22 - 0000 November 22 000000002018 - 06 - 10 - 0000 June 10 </Td> <Td> 000000002018 - 12 - 08 - 0000 December 8 000000002018 - 06 - 17 - 0000 June 17 </Td> </Tr> <Tr> <Td> Squaw Valley </Td> <Td> United States </Td> <Td> North America </Td> <Td> -- </Td> <Td> W008 VIII </Td> <Td> 1960 </Td> <Td> 000000002018 - 02 - 18 - 0000 February 18 </Td> <Td> 000000002018 - 02 - 28 - 0000 February 28 </Td> </Tr> <Tr> <Td> Rome </Td> <Td> Italy </Td> <Td> Europe </Td> <Td> S017 XVII </Td> <Td> -- </Td> <Td> 000000002018 - 08 - 25 - 0000 August 25 </Td> <Td> 000000002018 - 09 - 11 - 0000 September 11 </Td> </Tr> <Tr> <Td> Innsbruck </Td> <Td> Austria </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W009 IX </Td> <Td> 1964 </Td> <Td> 000000002018 - 01 - 29 - 0000 January 29 </Td> <Td> 000000002018 - 02 - 09 - 0000 February 9 </Td> </Tr> <Tr> <Td> Tokyo </Td> <Td> Japan </Td> <Td> Asia </Td> <Td> S018 XVIII </Td> <Td> -- </Td> <Td> 000000002018 - 10 - 10 - 0000 October 10 </Td> <Td> 000000002018 - 10 - 24 - 0000 October 24 </Td> </Tr> <Tr> <Td> Grenoble </Td> <Td> France </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W010 X </Td> <Td> 1968 </Td> <Td> 000000002018 - 02 - 06 - 0000 February 6 </Td> <Td> 000000002018 - 02 - 18 - 0000 February 18 </Td> </Tr> <Tr> <Td> Mexico City </Td> <Td> Mexico </Td> <Td> North America </Td> <Td> S019 XIX </Td> <Td> -- </Td> <Td> 000000002018 - 10 - 12 - 0000 October 12 </Td> <Td> 000000002018 - 10 - 27 - 0000 October 27 </Td> </Tr> <Tr> <Td> Sapporo </Td> <Td> Japan </Td> <Td> Asia </Td> <Td> -- </Td> <Td> W011 XI </Td> <Td> 1972 </Td> <Td> 000000002018 - 02 - 03 - 0000 February 3 </Td> <Td> 000000002018 - 02 - 13 - 0000 February 13 </Td> </Tr> <Tr> <Td> Munich </Td> <Td> West Germany </Td> <Td> Europe </Td> <Td> S020 XX </Td> <Td> -- </Td> <Td> 000000002018 - 08 - 26 - 0000 August 26 </Td> <Td> 000000002018 - 09 - 11 - 0000 September 11 </Td> </Tr> <Tr> <Td> Innsbruck </Td> <Td> Austria </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W012 XII </Td> <Td> 1976 </Td> <Td> 000000002018 - 02 - 04 - 0000 February 4 </Td> <Td> 000000002018 - 02 - 15 - 0000 February 15 </Td> </Tr> <Tr> <Td> Montreal </Td> <Td> Canada </Td> <Td> North America </Td> <Td> S021 XXI </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 17 - 0000 July 17 </Td> <Td> 000000002018 - 08 - 01 - 0000 August 1 </Td> </Tr> <Tr> <Td> Lake Placid </Td> <Td> United States </Td> <Td> North America </Td> <Td> -- </Td> <Td> W013 XIII </Td> <Td> 1980 </Td> <Td> 000000002018 - 02 - 12 - 0000 February 12 </Td> <Td> 000000002018 - 02 - 24 - 0000 February 24 </Td> </Tr> <Tr> <Td> Moscow </Td> <Td> Soviet Union </Td> <Td> Europe </Td> <Td> S022 XXII </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 19 - 0000 July 19 </Td> <Td> 000000002018 - 08 - 03 - 0000 August 3 </Td> </Tr> <Tr> <Td> Sarajevo </Td> <Td> Yugoslavia </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W014 XIV </Td> <Td> 1984 </Td> <Td> 000000002018 - 02 - 07 - 0000 February 7 </Td> <Td> 000000002018 - 02 - 19 - 0000 February 19 </Td> </Tr> <Tr> <Td> Los Angeles </Td> <Td> United States </Td> <Td> North America </Td> <Td> S023 XXIII </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 28 - 0000 July 28 </Td> <Td> 000000002018 - 08 - 12 - 0000 August 12 </Td> </Tr> <Tr> <Td> Calgary </Td> <Td> Canada </Td> <Td> North America </Td> <Td> -- </Td> <Td> W015 XV </Td> <Td> 1988 </Td> <Td> 000000002018 - 02 - 13 - 0000 February 13 </Td> <Td> 000000002018 - 02 - 28 - 0000 February 28 </Td> </Tr> <Tr> <Td> Seoul </Td> <Td> South Korea </Td> <Td> Asia </Td> <Td> S024 XXIV </Td> <Td> -- </Td> <Td> 000000002018 - 09 - 17 - 0000 September 17 </Td> <Td> 000000002018 - 10 - 02 - 0000 October 2 </Td> </Tr> <Tr> <Td> Albertville </Td> <Td> France </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W016 XVI </Td> <Td> 1992 </Td> <Td> 000000002018 - 02 - 08 - 0000 February 8 </Td> <Td> 000000002018 - 02 - 23 - 0000 February 23 </Td> </Tr> <Tr> <Td> Barcelona </Td> <Td> Spain </Td> <Td> Europe </Td> <Td> S025 XXV </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 25 - 0000 July 25 </Td> <Td> 000000002018 - 08 - 09 - 0000 August 9 </Td> </Tr> <Tr> <Td> Lillehammer </Td> <Td> Norway </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W017 XVII </Td> <Td> 1994 </Td> <Td> 000000002018 - 02 - 12 - 0000 February 12 </Td> <Td> 000000002018 - 02 - 27 - 0000 February 27 </Td> </Tr> <Tr> <Td> Atlanta </Td> <Td> United States </Td> <Td> North America </Td> <Td> S026 XXVI </Td> <Td> -- </Td> <Td> </Td> <Td> 000000002018 - 07 - 19 - 0000 July 19 </Td> <Td> 000000002018 - 08 - 04 - 0000 August 4 </Td> </Tr> <Tr> <Td> Nagano </Td> <Td> Japan </Td> <Td> Asia </Td> <Td> -- </Td> <Td> W018 XVIII </Td> <Td> 1998 </Td> <Td> 000000002018 - 02 - 07 - 0000 February 7 </Td> <Td> 000000002018 - 02 - 22 - 0000 February 22 </Td> </Tr> <Tr> <Td> Sydney </Td> <Td> Australia </Td> <Td> Oceania </Td> <Td> S027 XXVII </Td> <Td> -- </Td> <Td> 2000 </Td> <Td> 000000002018 - 09 - 15 - 0000 September 15 </Td> <Td> 00