where was a hologram for the king filmed	"<P> Production was set to begin in first quarter of 2014 . Principal photography commenced on March 6 , 2014 in Morocco . Filming also took place in Hurghada in Egypt , as well as in Berlin and Düsseldorf in Germany . Shooting wrapped in June 2014 . </P> "	hologram for the king	filmed	"Morocco, Hurghada in Egypt, Berlin in Germany"
0000002018 - 10 - 01 - 0000 October 1 </Td> </Tr> <Tr> <Td> Salt Lake City </Td> <Td> United States </Td> <Td> North America </Td> <Td> -- </Td> <Td> W019 XIX </Td> <Td> 2002 </Td> <Td> 000000002018 - 02 - 08 - 0000 February 8 </Td> <Td> 000000002018 - 02 - 24 - 0000 February 24 </Td> </Tr> <Tr> <Td> Athens </Td> <Td> Greece </Td> <Td> Europe </Td> <Td> S028 XXVIII </Td> <Td> -- </Td> <Td> </Td> <Td> 000000002018 - 08 - 13 - 0000 August 13 </Td> <Td> 000000002018 - 08 - 29 - 0000 August 29 </Td> </Tr> <Tr> <Td> Torino </Td> <Td> Italy </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W020 XX </Td> <Td> 2006 </Td> <Td> 000000002018 - 02 - 10 - 0000 February 10 </Td> <Td> 000000002018 - 02 - 26 - 0000 February 26 </Td> </Tr> <Tr> <Td> Beijing </Td> <Td> China </Td> <Td> Asia </Td> <Td> S029 XXIX </Td> <Td> -- </Td> <Td> 2008 </Td> <Td> 000000002018 - 08 - 08 - 0000 August 8 </Td> <Td> 000000002018 - 08 - 24 - 0000 August 24 </Td> </Tr> <Tr> <Td> Vancouver </Td> <Td> Canada </Td> <Td> North America </Td> <Td> -- </Td> <Td> W021 XXI </Td> <Td> </Td> <Td> 000000002018 - 02 - 12 - 0000 February 12 </Td> <Td> 000000002018 - 02 - 28 - 0000 February 28 </Td> </Tr> <Tr> <Td> London </Td> <Td> United Kingdom </Td> <Td> Europe </Td> <Td> S030 XXX </Td> <Td> -- </Td> <Td> 2012 </Td> <Td> 000000002018 - 07 - 27 - 0000 July 27 </Td> <Td> 000000002018 - 08 - 12 - 0000 August 12 </Td> </Tr> <Tr> <Td> Sochi </Td> <Td> Russia </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W022 XXII </Td> <Td> 2014 </Td> <Td> 000000002018 - 02 - 07 - 0000 February 7 </Td> <Td> 000000002018 - 02 - 23 - 0000 February 23 </Td> </Tr> <Tr> <Td> Rio de Janeiro </Td> <Td> Brazil </Td> <Td> South America </Td> <Td> S031 XXXI </Td> <Td> -- </Td> <Td> 2016 </Td> <Td> 000000002018 - 08 - 05 - 0000 August 5 </Td> <Td> 000000002018 - 08 - 21 - 0000 August 21 </Td> </Tr> <Tr> <Td> Pyeongchang </Td> <Td> South Korea </Td> <Td> Asia </Td> <Td> -- </Td> <Td> W023 XXIII </Td> <Td> 2018 </Td> <Td> 000000002018 - 02 - 09 - 0000 February 9 </Td> <Td> 000000002018 - 02 - 25 - 0000 February 25 </Td> </Tr> <Tr> <Td> Tokyo </Td> <Td> Japan </Td> <Td> Asia </Td> <Td> S032 XXXII </Td> <Td> -- </Td> <Td> 2020 </Td> <Td> 000000002018 - 07 - 24 - 0000 July 24 </Td> <Td> 000000002018 - 08 - 09 - 0000 August 9 </Td> </Tr> <Tr> <Td> Beijing </Td> <Td> China </Td> <Td> Asia </Td> <Td> -- </Td> <Td> W024 XXIV </Td> <Td> 2022 </Td> <Td> 000000002018 - 02 - 04 - 0000 February 4 </Td> <Td> 000000002018 - 02 - 20 - 0000 February 20 </Td> </Tr> <Tr> <Td> Paris </Td> <Td> France </Td> <Td> Europe </Td> <Td> S033 XXXIII </Td> <Td> -- </Td> <Td> 2024 </Td> <Td> 000000002018 - 07 - 26 - 0000 July 26 </Td> <Td> 000000002018 - 08 - 11 - 0000 August 11 </Td> </Tr> <Tr> <Td> TBD </Td> <Td> TBD </Td> <Td> </Td> <Td> -- </Td> <Td> W025 XXV </Td> <Td> 2026 </Td> <Td colspan=""2""> ( TBD ) </Td> </Tr> <Tr> <Td> Los Angeles </Td> <Td> United States </Td> <Td> North America </Td> <Td> S034 XXXIV </Td> <Td> -- </Td> <Td> 2028 </Td> <Td> 000000002018 - 07 - 21 - 0000 July 21 </Td> <Td> 000000002018 - 08 - 06 - 0000 August 6 </Td> </Tr> <Tr> <Td> TBD </Td> <Td> TBD </Td> <Td> </Td> <Td> -- </Td> <Td> W026 XXVI </Td> <Td> 2030 </Td> <Td colspan=""2""> ( TBD ) </Td> </Tr> </Table> "	next two winter olympics	held	Tokyo Japan and Beijing China
where was the movie last stand at saber river filmed	"<Ul> <Li> Bonanza Creek Ranch , 15 Bonanza Creek Lane , Santa Fe , New Mexico , USA </Li> <Li> Charles R Ranch , County Road 24 , Las Vegas , New Mexico , USA </Li> <Li> Las Vegas , New Mexico , USA </Li> <Li> Santa Clara Pueblo , New Mexico , USA </Li> <Li> Valle Grande , New Mexico , USA </Li> </Ul> "	movie last stand at saber river	filmed	New Mexico
where have the summer olympic games been held	"<Table> <Tr> <Th> City </Th> <Th> Country </Th> <Th> Continent </Th> <Th> Summer ( Olympiad ) </Th> <Th> Winter </Th> <Th> Year </Th> <Th> Opening Ceremony </Th> <Th> Closing Ceremony </Th> </Tr> <Tr> <Td> Athens </Td> <Td> Greece </Td> <Td> Europe </Td> <Td> S005 I </Td> <Td> -- </Td> <Td> 1896 </Td> <Td> 000000002018 - 04 - 06 - 0000 April 6 </Td> <Td> 000000002018 - 04 - 15 - 0000 April 15 </Td> </Tr> <Tr> <Td> Paris </Td> <Td> France </Td> <Td> Europe </Td> <Td> S005 II </Td> <Td> -- </Td> <Td> 1900 </Td> <Td> 000000002018 - 05 - 14 - 0000 May 14 </Td> <Td> 000000002018 - 10 - 28 - 0000 October 28 </Td> </Tr> <Tr> <Td> St. Louis </Td> <Td> United States </Td> <Td> North America </Td> <Td> S005 III </Td> <Td> -- </Td> <Td> 1904 </Td> <Td> 000000002018 - 07 - 01 - 0000 July 1 </Td> <Td> 000000002018 - 11 - 23 - 0000 November 23 </Td> </Tr> <Tr> <Td> London </Td> <Td> United Kingdom </Td> <Td> Europe </Td> <Td> S005 IV </Td> <Td> -- </Td> <Td> 1908 </Td> <Td> 000000002018 - 04 - 27 - 0000 April 27 </Td> <Td> 000000002018 - 10 - 31 - 0000 October 31 </Td> </Tr> <Tr> <Td> Stockholm </Td> <Td> Sweden </Td> <Td> Europe </Td> <Td> S005 V </Td> <Td> -- </Td> <Td> 1912 </Td> <Td> 000000002018 - 05 - 05 - 0000 May 5 </Td> <Td> 000000002018 - 07 - 22 - 0000 July 22 </Td> </Tr> <Tr> <Td> Berlin </Td> <Td> Germany </Td> <Td> Europe </Td> <Td> S006 VI </Td> <Td> -- </Td> <Td> 1916 </Td> <Td colspan=""2""> Cancelled due to WWI </Td> </Tr> <Tr> <Td> Antwerp </Td> <Td> Belgium </Td> <Td> Europe </Td> <Td> S007 VII </Td> <Td> -- </Td> <Td> 1920 </Td> <Td> 000000002018 - 04 - 20 - 0000 April 20 </Td> <Td> 000000002018 - 09 - 12 - 0000 September 12 </Td> </Tr> <Tr> <Td> Chamonix </Td> <Td> France </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W001 I </Td> <Td> 1924 </Td> <Td> 000000002018 - 01 - 25 - 0000 January 25 </Td> <Td> 000000002018 - 02 - 04 - 0000 February 4 </Td> </Tr> <Tr> <Td> Paris </Td> <Td> France </Td> <Td> Europe </Td> <Td> S008 VIII </Td> <Td> -- </Td> <Td> 000000002018 - 05 - 04 - 0000 May 4 </Td> <Td> 000000002018 - 07 - 27 - 0000 July 27 </Td> </Tr> <Tr> <Td> St. Moritz </Td> <Td> Switzerland </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W002 II </Td> <Td> 1928 </Td> <Td> 000000002018 - 02 - 11 - 0000 February 11 </Td> <Td> 000000002018 - 02 - 19 - 0000 February 19 </Td> </Tr> <Tr> <Td> Amsterdam </Td> <Td> Netherlands </Td> <Td> Europe </Td> <Td> S009 IX </Td> <Td> -- </Td> <Td> 000000002018 - 05 - 17 - 0000 May 17 </Td> <Td> 000000002018 - 08 - 12 - 0000 August 12 </Td> </Tr> <Tr> <Td> Lake Placid </Td> <Td> United States </Td> <Td> North America </Td> <Td> -- </Td> <Td> W003 III </Td> <Td> 1932 </Td> <Td> 000000002018 - 02 - 04 - 0000 February 4 </Td> <Td> 000000002018 - 02 - 15 - 0000 February 15 </Td> </Tr> <Tr> <Td> Los Angeles </Td> <Td> United States </Td> <Td> North America </Td> <Td> S010 X </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 30 - 0000 July 30 </Td> <Td> 000000002018 - 08 - 14 - 0000 August 14 </Td> </Tr> <Tr> <Td> Garmisch - Partenkirchen </Td> <Td> Nazi Germany </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W004 IV </Td> <Td> 1936 </Td> <Td> 000000002018 - 02 - 06 - 0000 February 6 </Td> <Td> 000000002018 - 02 - 16 - 0000 February 16 </Td> </Tr> <Tr> <Td> Berlin </Td> <Td> Nazi Germany </Td> <Td> Europe </Td> <Td> S011 XI </Td> <Td> -- </Td> <Td> 000000002018 - 08 - 01 - 0000 August 1 </Td> <Td> 000000002018 - 08 - 16 - 0000 August 16 </Td> </Tr> <Tr> <Td> Sapporo Garmisch - Partenkirchen </Td> <Td> Empire of Japan Nazi Germany </Td> <Td> Asia Europe </Td> <Td> -- </Td> <Td> W005a V </Td> <Td> 1940 </Td> <Td colspan=""2""> Cancelled due to WWII </Td> </Tr> <Tr> <Td> Tokyo Helsinki </Td> <Td> Empire of Japan Finland </Td> <Td> Asia Europe </Td> <Td> S012 XII </Td> <Td> -- </Td> </Tr> <Tr> <Td> Cortina d'Ampezzo </Td> <Td> Italy </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W005b V </Td> <Td> 1944 </Td> </Tr> <Tr> <Td> London </Td> <Td> United Kingdom </Td> <Td> Europe </Td> <Td> S013 XIII </Td> <Td> -- </Td> </Tr> <Tr> <Td> St. Moritz </Td> <Td> Switzerland </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W005c V </Td> <Td> 1948 </Td> <Td> 000000002018 - 01 - 30 - 0000 January 30 </Td> <Td> 000000002018 - 02 - 08 - 0000 February 8 </Td> </Tr> <Tr> <Td> London </Td> <Td> United Kingdom </Td> <Td> Europe </Td> <Td> S014 XIV </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 29 - 0000 July 29 </Td> <Td> 000000002018 - 08 - 14 - 0000 August 14 </Td> </Tr> <Tr> <Td> Oslo </Td> <Td> Norway </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W006 VI </Td> <Td> 1952 </Td> <Td> 000000002018 - 02 - 14 - 0000 February 14 </Td> <Td> 000000002018 - 02 - 25 - 0000 February 25 </Td> </Tr> <Tr> <Td> Helsinki </Td> <Td> Finland </Td> <Td> Europe </Td> <Td> S015 XV </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 19 - 0000 July 19 </Td> <Td> 000000002018 - 08 - 03 - 0000 August 3 </Td> </Tr> <Tr> <Td> Cortina d'Ampezzo </Td> <Td> Italy </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W007 VII </Td> <Td> 1956 </Td> <Td> 000000002018 - 01 - 26 - 0000 January 26 </Td> <Td> 000000002018 - 02 - 05 - 0000 February 5 </Td> </Tr> <Tr> <Td> Melbourne Stockholm </Td> <Td> Australia Sweden </Td> <Td> Oceania Europe </Td> <Td> S016 XVI </Td> <Td> -- </Td> <Td> 000000002018 - 11 - 22 - 0000 November 22 000000002018 - 06 - 10 - 0000 June 10 </Td> <Td> 000000002018 - 12 - 08 - 0000 December 8 000000002018 - 06 - 17 - 0000 June 17 </Td> </Tr> <Tr> <Td> Squaw Valley </Td> <Td> United States </Td> <Td> North America </Td> <Td> -- </Td> <Td> W008 VIII </Td> <Td> 1960 </Td> <Td> 000000002018 - 02 - 18 - 0000 February 18 </Td> <Td> 000000002018 - 02 - 28 - 0000 February 28 </Td> </Tr> <Tr> <Td> Rome </Td> <Td> Italy </Td> <Td> Europe </Td> <Td> S017 XVII </Td> <Td> -- </Td> <Td> 000000002018 - 08 - 25 - 0000 August 25 </Td> <Td> 000000002018 - 09 - 11 - 0000 September 11 </Td> </Tr> <Tr> <Td> Innsbruck </Td> <Td> Austria </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W009 IX </Td> <Td> 1964 </Td> <Td> 000000002018 - 01 - 29 - 0000 January 29 </Td> <Td> 000000002018 - 02 - 09 - 0000 February 9 </Td> </Tr> <Tr> <Td> Tokyo </Td> <Td> Japan </Td> <Td> Asia </Td> <Td> S018 XVIII </Td> <Td> -- </Td> <Td> 000000002018 - 10 - 10 - 0000 October 10 </Td> <Td> 000000002018 - 10 - 24 - 0000 October 24 </Td> </Tr> <Tr> <Td> Grenoble </Td> <Td> France </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W010 X </Td> <Td> 1968 </Td> <Td> 000000002018 - 02 - 06 - 0000 February 6 </Td> <Td> 000000002018 - 02 - 18 - 0000 February 18 </Td> </Tr> <Tr> <Td> Mexico City </Td> <Td> Mexico </Td> <Td> North America </Td> <Td> S019 XIX </Td> <Td> -- </Td> <Td> 000000002018 - 10 - 12 - 0000 October 12 </Td> <Td> 000000002018 - 10 - 27 - 0000 October 27 </Td> </Tr> <Tr> <Td> Sapporo </Td> <Td> Japan </Td> <Td> Asia </Td> <Td> -- </Td> <Td> W011 XI </Td> <Td> 1972 </Td> <Td> 000000002018 - 02 - 03 - 0000 February 3 </Td> <Td> 000000002018 - 02 - 13 - 0000 February 13 </Td> </Tr> <Tr> <Td> Munich </Td> <Td> West Germany </Td> <Td> Europe </Td> <Td> S020 XX </Td> <Td> -- </Td> <Td> 000000002018 - 08 - 26 - 0000 August 26 </Td> <Td> 000000002018 - 09 - 11 - 0000 September 11 </Td> </Tr> <Tr> <Td> Innsbruck </Td> <Td> Austria </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W012 XII </Td> <Td> 1976 </Td> <Td> 000000002018 - 02 - 04 - 0000 February 4 </Td> <Td> 000000002018 - 02 - 15 - 0000 February 15 </Td> </Tr> <Tr> <Td> Montreal </Td> <Td> Canada </Td> <Td> North America </Td> <Td> S021 XXI </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 17 - 0000 July 17 </Td> <Td> 000000002018 - 08 - 01 - 0000 August 1 </Td> </Tr> <Tr> <Td> Lake Placid </Td> <Td> United States </Td> <Td> North America </Td> <Td> -- </Td> <Td> W013 XIII </Td> <Td> 1980 </Td> <Td> 000000002018 - 02 - 12 - 0000 February 12 </Td> <Td> 000000002018 - 02 - 24 - 0000 February 24 </Td> </Tr> <Tr> <Td> Moscow </Td> <Td> Soviet Union </Td> <Td> Europe </Td> <Td> S022 XXII </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 19 - 0000 July 19 </Td> <Td> 000000002018 - 08 - 03 - 0000 August 3 </Td> </Tr> <Tr> <Td> Sarajevo </Td> <Td> Yugoslavia </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W014 XIV </Td> <Td> 1984 </Td> <Td> 000000002018 - 02 - 07 - 0000 February 7 </Td> <Td> 000000002018 - 02 - 19 - 0000 February 19 </Td> </Tr> <Tr> <Td> Los Angeles </Td> <Td> United States </Td> <Td> North America </Td> <Td> S023 XXIII </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 28 - 0000 July 28 </Td> <Td> 000000002018 - 08 - 12 - 0000 August 12 </Td> </Tr> <Tr> <Td> Calgary </Td> <Td> Canada </Td> <Td> North America </Td> <Td> -- </Td> <Td> W015 XV </Td> <Td> 1988 </Td> <Td> 000000002018 - 02 - 13 - 0000 February 13 </Td> <Td> 000000002018 - 02 - 28 - 0000 February 28 </Td> </Tr> <Tr> <Td> Seoul </Td> <Td> South Korea </Td> <Td> Asia </Td> <Td> S024 XXIV </Td> <Td> -- </Td> <Td> 000000002018 - 09 - 17 - 0000 September 17 </Td> <Td> 000000002018 - 10 - 02 - 0000 October 2 </Td> </Tr> <Tr> <Td> Albertville </Td> <Td> France </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W016 XVI </Td> <Td> 1992 </Td> <Td> 000000002018 - 02 - 08 - 0000 February 8 </Td> <Td> 000000002018 - 02 - 23 - 0000 February 23 </Td> </Tr> <Tr> <Td> Barcelona </Td> <Td> Spain </Td> <Td> Europe </Td> <Td> S025 XXV </Td> <Td> -- </Td> <Td> 000000002018 - 07 - 25 - 0000 July 25 </Td> <Td> 000000002018 - 08 - 09 - 0000 August 9 </Td> </Tr> <Tr> <Td> Lillehammer </Td> <Td> Norway </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W017 XVII </Td> <Td> 1994 </Td> <Td> 000000002018 - 02 - 12 - 0000 February 12 </Td> <Td> 000000002018 - 02 - 27 - 0000 February 27 </Td> </Tr> <Tr> <Td> Atlanta </Td> <Td> United States </Td> <Td> North America </Td> <Td> S026 XXVI </Td> <Td> -- </Td> <Td> </Td> <Td> 000000002018 - 07 - 19 - 0000 July 19 </Td> <Td> 000000002018 - 08 - 04 - 0000 August 4 </Td> </Tr> <Tr> <Td> Nagano </Td> <Td> Japan </Td> <Td> Asia </Td> <Td> -- </Td> <Td> W018 XVIII </Td> <Td> 1998 </Td> <Td> 000000002018 - 02 - 07 - 0000 February 7 </Td> <Td> 000000002018 - 02 - 22 - 0000 February 22 </Td> </Tr> <Tr> <Td> Sydney </Td> <Td> Australia </Td> <Td> Oceania </Td> <Td> S027 XXVII </Td> <Td> -- </Td> <Td> 2000 </Td> <Td> 000000002018 - 09 - 15 - 0000 September 15 </Td> <Td> 000000002018 - 10 - 01 - 0000 October 1 </Td> </Tr> <Tr> <Td> Salt Lake City </Td> <Td> United States </Td> <Td> North America </Td> <Td> -- </Td> <Td> W019 XIX </Td> <Td> 2002 </Td> <Td> 000000002018 - 02 - 08 - 0000 February 8 </Td> <Td> 000000002018 - 02 - 24 - 0000 February 24 </Td> </Tr> <Tr> <Td> Athens </Td> <Td> Greece </Td> <Td> Europe </Td> <Td> S028 XXVIII </Td> <Td> -- </Td> <Td> </Td> <Td> 000000002018 - 08 - 13 - 0000 August 13 </Td> <Td> 000000002018 - 08 - 29 - 0000 August 29 </Td> </Tr> <Tr> <Td> Torino </Td> <Td> Italy </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W020 XX </Td> <Td> 2006 </Td> <Td> 000000002018 - 02 - 10 - 0000 February 10 </Td> <Td> 000000002018 - 02 - 26 - 0000 February 26 </Td> </Tr> <Tr> <Td> Beijing </Td> <Td> China </Td> <Td> Asia </Td> <Td> S029 XXIX </Td> <Td> -- </Td> <Td> 2008 </Td> <Td> 000000002018 - 08 - 08 - 0000 August 8 </Td> <Td> 000000002018 - 08 - 24 - 0000 August 24 </Td> </Tr> <Tr> <Td> Vancouver </Td> <Td> Canada </Td> <Td> North America </Td> <Td> -- </Td> <Td> W021 XXI </Td> <Td> </Td> <Td> 000000002018 - 02 - 12 - 0000 February 12 </Td> <Td> 000000002018 - 02 - 28 - 0000 February 28 </Td> </Tr> <Tr> <Td> London </Td> <Td> United Kingdom </Td> <Td> Europe </Td> <Td> S030 XXX </Td> <Td> -- </Td> <Td> 2012 </Td> <Td> 000000002018 - 07 - 27 - 0000 July 27 </Td> <Td> 000000002018 - 08 - 12 - 0000 August 12 </Td> </Tr> <Tr> <Td> Sochi </Td> <Td> Russia </Td> <Td> Europe </Td> <Td> -- </Td> <Td> W022 XXII </Td> <Td> 2014 </Td> <Td> 000000002018 - 02 - 07 - 0000 February 7 </Td> <Td> 000000002018 - 02 - 23 - 0000 February 23 </Td> </Tr> <Tr> <Td> Rio de Janeiro </Td> <Td> Brazil </Td> <Td> South America </Td> <Td> S031 XXXI </Td> <Td> -- </Td> <Td> 2016 </Td> <Td> 000000002018 - 08 - 05 - 0000 August 5 </Td> <Td> 000000002018 - 08 - 21 - 0000 August 21 </Td> </Tr> <Tr> <Td> Pyeongchang </Td> <Td> South Korea </Td> <Td> Asia </Td> <Td> -- </Td> <Td> W023 XXIII </Td> <Td> 2018 </Td> <Td> 000000002018 - 02 - 09 - 0000